geometry,amenity,name,addr:housenumber,addr:postcode,addr:street,source,source_ref,postal_code,addr:city,addr:suburb,ele,operator,name:pt,phone,building,alt_name,operator:type,owner,ownership,short_name,website,wikipedia,internet_access,name:en,wikidata,building:levels,contact:facebook,network,training,type,tipo_escola,geometry_std
POINT (-50.1367739 -25.0918967),school,Colégio Estadual General Osório,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1367739 -25.0918967)
POINT (-50.1355822 -25.0825845),school,Colégio Sagrada Família,,,,,,,,,,,,,,,,,,,,,,,,,,,,,privada,POINT (-50.1355822 -25.0825845)
POINT (-50.1427224 -25.1776605),school,Escola Municipal Deodoro Alves Quintiliano,,,Rua Carajás,,,,Ponta Grossa,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1427224 -25.1776605)
POINT (-50.1421923 -25.1774935),school,Centro Municipal de Educação Infantil Augusto Canto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1421923 -25.1774935)
POINT (-50.139944 -25.0511478),school,Marista Escola Social Santa Mônica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,privada,POINT (-50.139944 -25.0511478)
"POLYGON ((-50.1736862 -25.0685448, -50.1734352 -25.0681498, -50.172512 -25.068543, -50.1727579 -25.0689877, -50.1736862 -25.0685448))",school,Colégio Estadual Doutor Epaminondas Novaes Ribas,2100,84071-120,Rua Alberto de Oliveira,,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,multipolygon,publica,POINT (-50.17309156156488 -25.068560457716583)
"POLYGON ((-50.1774878 -25.0853573, -50.1777813 -25.0858522, -50.1773154 -25.0859951, -50.177066 -25.0855101, -50.1774878 -25.0853573))",school,Escola Estudual Amalio Pinherio,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,privada,POINT (-50.17741585354043 -25.085681151693255)
"POLYGON ((-50.1595836 -25.0899209, -50.1590364 -25.0898529, -50.1590042 -25.0900181, -50.1595728 -25.0900861, -50.1595836 -25.0899209))",school,"Colegio Sepam,Cursinho",,,,,,,,,,,,,,,,,,,,,,,,,,,,,privada,POINT (-50.15929845975089 -25.089969931743553)
"POLYGON ((-50.1616929 -25.0864698, -50.1613829 -25.0864206, -50.1605125 -25.0862788, -50.1602483 -25.0862387, -50.1602 -25.0862709, -50.1601343 -25.0867449, -50.16016 -25.0867686, -50.1604213 -25.0868205, -50.1608786 -25.0869167, -50.1616015 -25.0870613, -50.1616323 -25.0870491, -50.1617074 -25.0865026, -50.1616929 -25.0864698))",university,Universidade Estadual de Ponta Grossa,1,,Praça Santos Andrade,,,,Ponta Grossa,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.16093404790791 -25.086636428576067)
"POLYGON ((-50.1583566 -25.0891213, -50.1577175 -25.0890288, -50.157574 -25.0898422, -50.1582131 -25.0899347, -50.1583566 -25.0891213))",school,Colégio Sepam,1171,,Rua General Carneiro,,,,Ponta Grossa,,,,,,,,,,,,,,,,,,,,,,privada,POINT (-50.1579653 -25.08948175)
"POLYGON ((-50.1007382 -25.0984099, -50.101115 -25.0997919, -50.0972637 -25.1007071, -50.0981337 -25.0981573, -50.0984985 -25.0973606, -50.0989974 -25.0966416, -50.0999605 -25.0953357, -50.0998677 -25.0952826, -50.0994587 -25.0957623, -50.0993568 -25.0958825, -50.0991355 -25.096072, -50.0987908 -25.0961096, -50.0980103 -25.0968116, -50.0973773 -25.0966173, -50.0970554 -25.096457, -50.0968462 -25.0962529, -50.0964358 -25.0957793, -50.0963071 -25.0955777, -50.0962132 -25.0953639, -50.096578 -25.094951, -50.0961328 -25.0944118, -50.0953093 -25.0932871, -50.0957599 -25.0930126, -50.0964654 -25.0913803, -50.0933862 -25.0906224, -50.0926249 -25.089618, -50.0919499 -25.0887131, -50.0920907 -25.0886269, -50.0939065 -25.0886086, -50.1015401 -25.0886597, -50.1022831 -25.0887593, -50.1059 -25.089273, -50.1060677 -25.089318, -50.1062004 -25.0894018, -50.1063473 -25.0895372, -50.1064197 -25.0896016, -50.1065116 -25.0896447, -50.1065954 -25.0897267, -50.1066296 -25.0897327, -50.1066504 -25.0897455, -50.1066631 -25.0897704, -50.1066678 -25.0898032, -50.1065585 -25.0914816, -50.1064083 -25.091628, -50.1062393 -25.0917689, -50.1060864 -25.0918467, -50.1059201 -25.0918904, -50.1052308 -25.0919317, -50.1049438 -25.0920046, -50.1030515 -25.092075, -50.1030649 -25.0924467, -50.1053783 -25.0929689, -50.106537 -25.0928547, -50.1103243 -25.0938446, -50.110158 -25.0959396, -50.1101312 -25.0962797, -50.1100159 -25.0972343, -50.10993 -25.0973023, -50.1088303 -25.097618, -50.1070493 -25.0981743, -50.1058584 -25.0984682, -50.1049055 -25.0986346, -50.104111 -25.0976144, -50.1007382 -25.0984099))",university,Universidade Estadual de Ponta Grossa,4748,84030-900,Avenida General Carlos Cavalcanti,,,,,Uvaranas,,,,+55 42 3220-3000,,Campus Uvaranas,public,Estado do Paraná,state,UEPG,https://www.uepg.br/,pt:Universidade Estadual de Ponta Grossa,,,,,,,,,publica,POINT (-50.10169146639477 -25.093711953924704)
"POLYGON ((-50.1636175 -25.0693032, -50.1633061 -25.0694443, -50.1634894 -25.0697759, -50.16361 -25.0700019, -50.1639077 -25.0698675, -50.1636175 -25.0693032))",school,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,privada,POINT (-50.16360969069036 -25.069651779586994)
"POLYGON ((-50.1634534 -25.0697922, -50.1631308 -25.0699335, -50.1632514 -25.0701595, -50.163574 -25.0700182, -50.1634534 -25.0697922))",school,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,privada,POINT (-50.163352399999994 -25.069975850000002)
"POLYGON ((-50.1577173 -25.076274, -50.1571098 -25.0751498, -50.1555753 -25.07583, -50.1561828 -25.0769543, -50.1577173 -25.076274))",school,Colégio Estadual Polivalente,,,Rua Padre João Antônio,,,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.156646292262046 -25.076052031729386)
"POLYGON ((-50.1324682 -25.0499931, -50.1305364 -25.050915, -50.1300909 -25.0500629, -50.1298736 -25.0502063, -50.1291507 -25.0508895, -50.1285415 -25.0515196, -50.1288726 -25.0520873, -50.1291848 -25.0526424, -50.1292122 -25.0526672, -50.1294177 -25.053027, -50.1303003 -25.0545598, -50.1335824 -25.0530195, -50.1335187 -25.0525912, -50.1333323 -25.0517517, -50.1332706 -25.0515767, -50.1331848 -25.0512924, -50.1331218 -25.051126, -50.1330694 -25.0509245, -50.1327898 -25.0504972, -50.1325291 -25.0500885, -50.1324682 -25.0499931))",university,UTFPR - Universidade Tecnológica Federal do Paraná,330,84017-220,Rua Doutor Washington Subtil Chueire,,,,Ponta Grossa,Jardim Carvalho,,,,+55 42 3220-4800,,,,,,,http://www.utfpr.edu.br/pontagrossa,pt:Universidade Tecnológica Federal do Paraná,yes,Parana Federal Technological University,,,,,,,publica,POINT (-50.1311508870279 -25.052148275831986)
"POLYGON ((-50.1600047 -25.0924201, -50.1599072 -25.0930836, -50.1592696 -25.0929879, -50.1593477 -25.0923321, -50.1600047 -25.0924201))",school,Colégio Estadual Regente Feijó,194,,Rua do Rosário,,,,Ponta Grossa,Centro,,,,,,,,,,,,,,,Q9818306,,,,,,publica,POINT (-50.1596333427652 -25.0927045124898)
"POLYGON ((-50.1544762 -25.08548, -50.1548556 -25.0859804, -50.1543484 -25.0863232, -50.1541907 -25.0864081, -50.1538726 -25.0862632, -50.1538155 -25.0861631, -50.1538332 -25.0860542, -50.1539489 -25.0858691, -50.1542529 -25.0855145, -50.1544762 -25.08548))",school,Colégio Estadual Meneleu de Almeida Torres,20,,Rua Graciliano Ramos,,,,Ponta Grossa,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.1543057530092 -25.085957553589054)
"POLYGON ((-50.1606296 -25.0812126, -50.1609099 -25.0820883, -50.1608401 -25.0822681, -50.1610641 -25.0826594, -50.1621304 -25.0827045, -50.1629342 -25.0827179, -50.1626432 -25.0820476, -50.1622512 -25.0812852, -50.1613941 -25.0812418, -50.1606296 -25.0812126))",school,Colégio Marista Pio XII,701,,Rua Rodrigues Alves,,,,Ponta Grossa,,,,,,,,,,,,,,,,Q55607897,,,,,,privada,POINT (-50.161726037295225 -25.08199321469876)
"POLYGON ((-50.1634663 -25.0928345, -50.1632239 -25.0927987, -50.1632637 -25.0925773, -50.1635061 -25.0926131, -50.1634816 -25.0927496, -50.1634663 -25.0928345))",university,Cescage Unidade Mitaí,810,,Rua Balduíno Taques,,,,,,,,,,university,,,,,,,,,,,4,,,,,privada,POINT (-50.16336500912218 -25.09270590202009)
"POLYGON ((-50.1681581 -25.0834928, -50.1679637 -25.0842011, -50.169404 -25.0845092, -50.1694261 -25.0844692, -50.1690063 -25.0836649, -50.1681581 -25.0834928))",school,Colégio Sagrada Família - Unidade São José,,,,,,,,,,,,,,,,,,,,,,,,,,,,,privada,POINT (-50.16865143340301 -25.084004889599694)
"POLYGON ((-50.1195608 -25.0980681, -50.1168931 -25.0979625, -50.1167281 -25.0966994, -50.1174721 -25.0967238, -50.1174696 -25.0967883, -50.1186986 -25.0968286, -50.1187012 -25.0967641, -50.1194987 -25.0967903, -50.1195608 -25.0980681))",college,Colégio Estadual Professor João Ricardo Von Borell,124,84031-150,Rua Andrade Neves,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.11817517929075 -25.097390270471386)
"POLYGON ((-50.1146068 -25.0945276, -50.1145103 -25.0948276, -50.113854 -25.0947383, -50.1139187 -25.0944258, -50.1146068 -25.0945276))",school,Elite Rede de Ensino - Ponta Grossa,1354,,Rua Teixeira Mendes,,,,Ponta Grossa,Uvaranas,,,,,,,,,,,https://ensinoelite.com.br,,,,,,,,,,privada,POINT (-50.114221381016 -25.09462834082527)
"POLYGON ((-50.1462905 -25.0698556, -50.1470853 -25.0702854, -50.1464922 -25.071231, -50.1456737 -25.0707904, -50.1462905 -25.0698556))",school,APAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,privada,POINT (-50.146383897709015 -25.070542752944846)
"POLYGON ((-50.1324682 -25.0499931, -50.1320332 -25.0494247, -50.1314709 -25.049306, -50.1307306 -25.0496595, -50.1300909 -25.0500629, -50.1305364 -25.050915, -50.1324682 -25.0499931))",school,Escola Agrícola Municipal Sílvio Batista Rosas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.13121915111992 -25.050040497703257)
"POLYGON ((-50.0894835 -25.0884731, -50.0901014 -25.0869267, -50.0891338 -25.0868089, -50.089207 -25.0862787, -50.088833 -25.0863744, -50.0884996 -25.0863744, -50.0880849 -25.0863818, -50.0876215 -25.0862051, -50.0871824 -25.0860136, -50.0860762 -25.0862119, -50.0867116 -25.0888733, -50.0894835 -25.0884731))",university,Cescage,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,privada,POINT (-50.087933851907124 -25.08743306085049)
"POLYGON ((-50.1169874 -25.0705438, -50.1168054 -25.0710358, -50.1159225 -25.0707503, -50.1161317 -25.0701704, -50.1169874 -25.0705438))",school,Escola Municipal Professora Alda dos Santos Rebona,461,84020-520,Rua Iapó,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.116450168984876 -25.07062043527213)
"POLYGON ((-50.1223562 -25.0709863, -50.1224553 -25.0712107, -50.1220553 -25.0714126, -50.1211634 -25.0710215, -50.1213864 -25.0705791, -50.1223562 -25.0709863))",school,Escola Estadual Nossa Senhora da Glória,,84020-770,Rua Ewaldo Nack,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.121797424172115 -25.0710181767269)
"POLYGON ((-50.1220474 -25.0667461, -50.1216899 -25.0674569, -50.1210964 -25.0671717, -50.1214613 -25.0664357, -50.1220474 -25.0667461))",school,Escola Municipal Eurico Batista Rosas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.12157239106373 -25.066951384139447)
"POLYGON ((-50.1219342 -25.0739809, -50.1220469 -25.0738067, -50.1217493 -25.07367, -50.1216502 -25.0738463, -50.1219342 -25.0739809))",school,Catequese da igreja Nossa Senhora da Glória,,,,,,,,,,,,,,,,,,,,,,,,,,,,,privada,POINT (-50.12184595981935 -25.07382560602761)
"POLYGON ((-50.1256638 -25.1047617, -50.1247036 -25.1053859, -50.1249128 -25.1057842, -50.125806 -25.1052135, -50.1256638 -25.1047617))",school,Escola Municipal Pref. Fulton Vital de Macedo,,,,,,,,,,Prefeitura Municipal de Ponta Grossa,,,,,,,,,,,,,,,,,,,publica,POINT (-50.12527191651792 -25.105282682503923)
"POLYGON ((-50.1357819 -25.082059, -50.1366674 -25.082547, -50.135684 -25.0839802, -50.1347852 -25.0835034, -50.1357819 -25.082059))",school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,privada,POINT (-50.1357285553942 -25.083022573340237)
"POLYGON ((-50.1388523 -25.1365628, -50.1388206 -25.1364511, -50.1387544 -25.1363527, -50.1386593 -25.1362759, -50.1385437 -25.1362276, -50.1384175 -25.1362119, -50.1382917 -25.1362302, -50.1381201 -25.1357542, -50.1391232 -25.1358538, -50.1390374 -25.1365871, -50.1388523 -25.1365628))",school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,privada,POINT (-50.138694280941564 -25.13608482481732)
"POLYGON ((-50.1484627 -25.1299288, -50.1487121 -25.1315922, -50.1487872 -25.1314028, -50.1488811 -25.131228, -50.1490313 -25.1311357, -50.1496133 -25.1309997, -50.1499137 -25.1309511, -50.1502007 -25.1309633, -50.1505333 -25.1310094, -50.1507694 -25.1310774, -50.1508954 -25.1311235, -50.1510268 -25.131211, -50.1511717 -25.1312741, -50.1513648 -25.1312668, -50.151507 -25.1312085, -50.1515901 -25.1310628, -50.1517376 -25.1310337, -50.151861 -25.1310361, -50.1520568 -25.1309803, -50.1521453 -25.1308686, -50.1523867 -25.1303829, -50.1524243 -25.1301741, -50.1524498 -25.130117, -50.1522848 -25.1300672, -50.1517092 -25.1298876, -50.1515183 -25.1297517, -50.151457 -25.129683, -50.1514066 -25.1296975, -50.1509397 -25.1297953, -50.1508136 -25.1297977, -50.1507922 -25.1298147, -50.1505467 -25.1297649, -50.1504956 -25.1297489, -50.1503804 -25.1297091, -50.1503107 -25.1298548, -50.1493397 -25.1298705, -50.1484627 -25.1299288))",university,Unicesumar,,,Rua Desembargador Westphalem,,,,,,,,,,,,,,,,,,,,,,,,,,privada,POINT (-50.15040264612954 -25.130463854251772)
"POLYGON ((-50.1642818 -25.08923, -50.1641527 -25.0897827, -50.163676 -25.0896913, -50.1638051 -25.0891387, -50.1642818 -25.08923))",college,Colégio Estadual Professor Júlio Teodorico,1168,84010-050,Rua Balduíno Taques,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,Ponta Grossa,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.16397890637548 -25.08946067847857)
"POLYGON ((-50.1569751 -25.0895917, -50.1569522 -25.0897453, -50.1569043 -25.0897394, -50.1568512 -25.0897329, -50.1568741 -25.0895793, -50.1569751 -25.0895917))",college,Alto da VII Alta Performance,350,,Rua Tiradentes,,,,,,,,,,yes,,,,,,,,,,,,https://www.facebook.com/altodasete,DeRose Method,derose_method,,privada,POINT (-50.15691315064987 -25.0896622952779)
"POLYGON ((-50.1699498 -25.0857204, -50.1699357 -25.0856851, -50.1699136 -25.08567, -50.1698781 -25.0856657, -50.1694067 -25.0857762, -50.1695448 -25.0868426, -50.1703025 -25.0865669, -50.1702851 -25.0865208, -50.1699498 -25.0857204))",college,Colégio Estadual Presidente Kennedy,150,84015-150,Avenida Anita Garibaldi,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.16979941045576 -25.08624568930353)
"POLYGON ((-50.137251 -25.0914289, -50.1373094 -25.0918181, -50.1372175 -25.0918594, -50.1371337 -25.0918819, -50.1363283 -25.0920507, -50.1362439 -25.0915861, -50.1362474 -25.0915754, -50.1362566 -25.0915681, -50.1364329 -25.0915434, -50.137251 -25.0914289))",college,Colégio Estadual General Osório,1533,84025-000,Avenida General Carlos Cavalcanti,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.136769045674605 -25.091724773336864)
"POLYGON ((-50.1765776 -25.0590083, -50.1764448 -25.0584276, -50.1752807 -25.0586475, -50.1757903 -25.0591553, -50.176082 -25.0591008, -50.1765776 -25.0590083))",college,Colégio Estadual Professora Linda Salamuni Bacila,,,Rua Lauro de Almeida,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,84072-970,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.17601325623033 -25.058792050243035)
"POLYGON ((-50.1303946 -25.0778411, -50.1307393 -25.0780396, -50.1302887 -25.0787253, -50.1299319 -25.0785248, -50.1299254 -25.0785111, -50.1299246 -25.0784948, -50.1299316 -25.0784759, -50.1302221 -25.0780484, -50.1303576 -25.0778491, -50.1303685 -25.0778422, -50.1303812 -25.0778394, -50.1303946 -25.0778411))",college,Colégio Estadual Trinta e Um de Março,,,Avenida Sargento Carlos Argemiro Camargo,Prefeitura de Ponta Grossa - PR,http://wiki.openstreetmap.org/wiki/Pt-br:WikiProject_Brazil/PR/Ponta_Grossa/Agreement,84021-120,,,,,,,,,,,,,,,,,,,,,,,publica,POINT (-50.13032596615392 -25.078277655608197)
