geometry,leisure,name,addr:street,tourism,landuse,addr:city,addr:suburb,start_date,description,addr:housenumber,addr:postcode,opening_hours,operator,source,alt_name,grass,natural,surface,type
"POLYGON ((-50.1695717 -25.0847155, -50.1695546 -25.0847066, -50.1694215 -25.084677, -50.1692441 -25.0851887, -50.1694075 -25.0852331, -50.1695733 -25.0847256, -50.1695717 -25.0847155))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1683871 -25.0843722, -50.1682584 -25.0847412, -50.1679602 -25.0846477, -50.1679091 -25.0847812, -50.1679691 -25.0848, -50.1679369 -25.0848641, -50.1679009 -25.0848527, -50.1678315 -25.0850649, -50.1676537 -25.0850007, -50.1678945 -25.084269, -50.1683871 -25.0843722))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.0199446 -25.2447202, -50.020017 -25.2460206, -50.0182414 -25.2456324, -50.0178686 -25.2455426, -50.0180027 -25.2451205, -50.0191641 -25.2442374, -50.0193143 -25.2441622, -50.0194725 -25.2441404, -50.0196308 -25.2441428, -50.01973 -25.2441671, -50.0198105 -25.2442083, -50.0198695 -25.244201, -50.0199768 -25.244138, -50.0199446 -25.2447202))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1706076 -25.082707, -50.1703661 -25.0828182, -50.1706354 -25.0833453, -50.1709165 -25.0832234, -50.1706076 -25.082707))",park,Praça Osvaldo Tramontim,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1508442 -25.1184004, -50.1504471 -25.1186414, -50.1508532 -25.1186189, -50.1508442 -25.1184004))",park,Praça Professor Mauro Paes,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1502933 -25.0735458, -50.1497877 -25.0738519, -50.1500961 -25.0733903, -50.1502933 -25.0735458))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1640899 -25.0560513, -50.162901 -25.0558186, -50.1626522 -25.0558593, -50.1627749 -25.0563246, -50.1627877 -25.056372, -50.164047 -25.0562129, -50.1640899 -25.0560513))",park,,Rua Rômulo Gardenal,,,,,,área para prática de esportes,,,,,,,,,,
"POLYGON ((-50.164031 -25.0560789, -50.1629563 -25.0558526, -50.1626885 -25.055886, -50.1627514 -25.0561276, -50.1628085 -25.0563468, -50.1640129 -25.056152, -50.164031 -25.0560789))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1582266 -25.0698609, -50.1579134 -25.0693039, -50.1572603 -25.0695845, -50.1575768 -25.0701396, -50.1582266 -25.0698609))",park,,Rua Professora Sinhara Natel de Paula,,,,,,,,,,,,,,,,
"POLYGON ((-50.1257566 -25.0946776, -50.1253947 -25.0946201, -50.1249979 -25.0945534, -50.1249688 -25.0949505, -50.1249416 -25.095321, -50.1252824 -25.0953597, -50.1256416 -25.0954054, -50.125698 -25.095051, -50.1257566 -25.0946776))",park,Praça Bom Jesus,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1393035 -25.0906841, -50.139221 -25.0906383, -50.1391691 -25.0905913, -50.1391319 -25.0905998, -50.1391226 -25.0906166, -50.1391359 -25.0906504, -50.1391605 -25.0906658, -50.1392149 -25.090691, -50.1392569 -25.0907074, -50.1392799 -25.0906973, -50.1393035 -25.0906841))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1391049 -25.0905371, -50.1390454 -25.0906001, -50.1388314 -25.0904803, -50.1385441 -25.0902229, -50.1383027 -25.0899324, -50.1381591 -25.0896805, -50.1380109 -25.0893761, -50.137881 -25.0890855, -50.1378016 -25.0888115, -50.1378 -25.0885748, -50.1378214 -25.0883991, -50.1378963 -25.0882164, -50.1380308 -25.0880186, -50.1382004 -25.0877944, -50.1382752 -25.0876547, -50.1383761 -25.0874471, -50.1383822 -25.0872478, -50.1383822 -25.0870887, -50.1383333 -25.0869323, -50.1382599 -25.0868161, -50.1382004 -25.086758, -50.138179 -25.0867192, -50.1382049 -25.0866708, -50.1382477 -25.0866708, -50.1382966 -25.0866902, -50.1383547 -25.0867483, -50.1384341 -25.0869323, -50.1384723 -25.0870389, -50.1384723 -25.0872368, -50.1384448 -25.0873959, -50.1384143 -25.0875273, -50.1383287 -25.087692, -50.1382554 -25.0878221, -50.1381484 -25.0879632, -50.1380415 -25.088103, -50.1379666 -25.0882234, -50.137907 -25.088312, -50.1378749 -25.088442, -50.1378657 -25.088568, -50.1378642 -25.0886787, -50.1378917 -25.0888724, -50.137907 -25.0889845, -50.1380827 -25.0893318, -50.1381883 -25.0895522, -50.1383508 -25.0898307, -50.138575 -25.0900727, -50.1388451 -25.0903281, -50.1391049 -25.0905371))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1462333 -25.0889774, -50.1461083 -25.0889153, -50.1475478 -25.0884041, -50.1480276 -25.0883274, -50.1484349 -25.0883274, -50.148451 -25.0884187, -50.1479954 -25.0884954, -50.1475599 -25.0885574, -50.1471244 -25.0886597, -50.1462333 -25.0889774))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1486203 -25.0883274, -50.14858 -25.0883785, -50.14858 -25.0884296, -50.1489752 -25.0884954, -50.1492695 -25.0885976, -50.1497816 -25.0889044, -50.1498784 -25.0888788, -50.1496526 -25.0886853, -50.149326 -25.08851, -50.1490599 -25.0884041, -50.1486203 -25.0883274))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1486726 -25.0882358, -50.148581 -25.08824, -50.148555 -25.0882303, -50.148555 -25.0881735, -50.1486726 -25.0882358))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1501817 -25.0890807, -50.1501134 -25.0891101, -50.1500566 -25.0890115, -50.1501817 -25.0890807))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1586068 -25.0779831, -50.158478 -25.0776891, -50.1578906 -25.0779466, -50.1586068 -25.0779831))",park,Praça das Pedras,,,,,,,,,,,,,,,,,
"POLYGON ((-50.152636 -25.0767654, -50.1515417 -25.0774359, -50.1520137 -25.0781161, -50.1531854 -25.0774037, -50.1531087 -25.0773945, -50.152636 -25.0767654))",park,Praça Santo Antônio,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1500373 -25.0643716, -50.1499997 -25.0643814, -50.1500882 -25.0647264, -50.1501204 -25.0647191, -50.1500373 -25.0643716))",garden,Cerca viva Monteiro Lobato,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1503726 -25.0933496, -50.1501707 -25.0932968, -50.1502546 -25.093175, -50.1504554 -25.0933725, -50.1503726 -25.0933496))",park,Praça sem nome,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1608893 -25.110599, -50.1605447 -25.1110641, -50.1611294 -25.1114272, -50.1614848 -25.1109645, -50.1608893 -25.110599))",park,Praça João Montes Filho,Rua Freire Alemão,,,ponta grossa,Vila Estrela,,,630,84040-050,24/7,Prefeitura Municipal de Ponta Grossa,,,,,,
"POLYGON ((-50.1597514 -25.1087204, -50.1595308 -25.1088327, -50.1596823 -25.1092401, -50.1597145 -25.1090088, -50.1597514 -25.1087204))",park,Praça Madre Maria,,,,,,,,,,24/7,Prefeitura de Ponta Grossa e Rotary Club,,,,,,
"POLYGON ((-50.2066409 -25.1136038, -50.2067325 -25.113663, -50.2068078 -25.1137387, -50.2068634 -25.1138272, -50.2068967 -25.1139245, -50.2069061 -25.114026, -50.2068912 -25.114127, -50.2068526 -25.1142227, -50.2067923 -25.1143086, -50.2067129 -25.1143808, -50.2066183 -25.1144359, -50.2065128 -25.1144713, -50.2064014 -25.1144853, -50.2062892 -25.1144773, -50.2061816 -25.1144476, -50.2060835 -25.1143977, -50.2059996 -25.1143298, -50.2059338 -25.1142473, -50.205889 -25.1141538, -50.2058676 -25.1140538, -50.2058704 -25.113952, -50.2058972 -25.113853, -50.205947 -25.1137617, -50.2060172 -25.1136821, -50.2061047 -25.1136181, -50.2062054 -25.1135726, -50.2063145 -25.1135478, -50.206427 -25.1135448, -50.2065375 -25.1135638, -50.2066409 -25.1136038))",park,Praça do Jardim Canaã,R. Ruy Holzmann,,,Ponta grossa,,,,184,84043-560,,,,,,,,
"POLYGON ((-50.1316933 -25.0517635, -50.1317703 -25.0519031, -50.131567 -25.0520064, -50.1314715 -25.0518556, -50.1316933 -25.0517635))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1316194 -25.0516323, -50.1314129 -25.0517356, -50.1313205 -25.0515933, -50.1315362 -25.05149, -50.1316194 -25.0516323))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1522791 -25.112576, -50.1522218 -25.1126112, -50.1521681 -25.1126488, -50.152123 -25.1127564, -50.1520112 -25.1136628, -50.1520682 -25.1140161, -50.1526073 -25.1161773, -50.1528952 -25.1180839, -50.1532043 -25.119964, -50.1535871 -25.1199825, -50.1532343 -25.1175388, -50.1532906 -25.1174271, -50.1531646 -25.116718, -50.1530781 -25.1165477, -50.1530305 -25.1162954, -50.1529714 -25.1160841, -50.1531887 -25.1160428, -50.15284 -25.1154114, -50.1529822 -25.1153264, -50.152492 -25.1143093, -50.1526013 -25.1142894, -50.1525745 -25.1140708, -50.1525745 -25.1139032, -50.1526067 -25.1136579, -50.1522365 -25.1135851, -50.1522499 -25.1130919, -50.1523411 -25.1126391, -50.1525074 -25.1125893, -50.1525076 -25.1124945, -50.1522791 -25.112576))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.2064674 -25.1141749, -50.2064714 -25.1141913, -50.2064628 -25.1142062, -50.2064457 -25.1142126, -50.206428 -25.1142075, -50.206418 -25.1141934, -50.2064205 -25.1141767, -50.2064342 -25.1141654, -50.2064527 -25.1141647, -50.2064674 -25.1141749))",garden,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1328639 -25.0517744, -50.1318133 -25.0522443, -50.1323069 -25.0531503, -50.1333577 -25.0526804, -50.1328639 -25.0517744))",park,Campo de Futebol da UTFPR,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1586827 -25.1122957, -50.1590243 -25.1124972, -50.1591769 -25.1123051, -50.1588381 -25.1120932, -50.1586827 -25.1122957))",park,Praça da Igreja Santa Terrezinha,,,,,,,,,,,Igreja Santa Terrezinha,local knowledge,,,,,
"POLYGON ((-50.1550241 -25.1245007, -50.1550273 -25.1257336, -50.1544083 -25.1257695, -50.1543945 -25.1254274, -50.1543732 -25.124915, -50.154359 -25.1245198, -50.1550241 -25.1245007))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1763093 -25.066584, -50.1763122 -25.066596, -50.1763113 -25.0666083, -50.1763066 -25.0666199, -50.1762986 -25.0666299, -50.1762879 -25.0666374, -50.17573 -25.0668974, -50.1757184 -25.0668972, -50.1757074 -25.0668938, -50.1756911 -25.0668792, -50.1752365 -25.0661236, -50.1752358 -25.0661095, -50.1752405 -25.066096, -50.1752499 -25.0660847, -50.1758158 -25.0658223, -50.1758339 -25.0658192, -50.175852 -25.0658215, -50.1758685 -25.0658288, -50.1758815 -25.0658405, -50.1763093 -25.066584))",park,Praça Ida Santos,,,,,,,,,,,,,Praça da Vila Isabel,,,,
"POLYGON ((-50.1285883 -25.0800718, -50.1283551 -25.0803871, -50.1279883 -25.0801278, -50.1281096 -25.0799597, -50.1282001 -25.0798684, -50.1285578 -25.0800538, -50.1285883 -25.0800718))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1331003 -25.0771767, -50.1327743 -25.0773634, -50.1325383 -25.0772565, -50.1327396 -25.0769725, -50.1331003 -25.0771767))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1726964 -25.0569138, -50.1712668 -25.0564327, -50.1713902 -25.056146, -50.1729405 -25.0558302, -50.1730076 -25.0561169, -50.1726964 -25.0569138))",park,Praça do Esplanada,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1058461 -25.0951316, -50.1055159 -25.0955115, -50.1066688 -25.0956182, -50.1068777 -25.0955538, -50.1067214 -25.0949935, -50.1064788 -25.0949883, -50.1064513 -25.0946022, -50.1066577 -25.0945741, -50.1065706 -25.0942715, -50.1066714 -25.0933128, -50.1065407 -25.0931727, -50.1062106 -25.093101, -50.1055503 -25.0931509, -50.1049657 -25.0932754, -50.1046115 -25.0932225, -50.1045908 -25.0934841, -50.1046115 -25.0936865, -50.10489 -25.0938734, -50.1044515 -25.0944372, -50.1044189 -25.0945329, -50.1045418 -25.0947486, -50.1040725 -25.0950262, -50.1041298 -25.0950627, -50.1039086 -25.0952239, -50.1045186 -25.0955808, -50.1049946 -25.0957201, -50.1055314 -25.0953979, -50.1054051 -25.0952207, -50.1056156 -25.0949759, -50.1049278 -25.0945274, -50.1051105 -25.0942938, -50.1054337 -25.0944706, -50.1056008 -25.0941991, -50.1054127 -25.0940416, -50.1055243 -25.0938293, -50.1061702 -25.0938838, -50.1061847 -25.0937036, -50.1064169 -25.0937146, -50.1063172 -25.0944807, -50.1060524 -25.0949074, -50.1064238 -25.0951814, -50.1062794 -25.0953683, -50.1058461 -25.0951316))",park,,,,recreation_ground,,,,,,,,,,,urban,plateau,grass,
"POLYGON ((-50.153617 -25.1200642, -50.1531501 -25.1200697, -50.1529718 -25.1215794, -50.1532822 -25.121574, -50.1534427 -25.1215706, -50.153617 -25.1200642))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1534427 -25.1215706, -50.1532822 -25.121574, -50.1529718 -25.1215794, -50.1525197 -25.1228612, -50.153131 -25.12283, -50.1532476 -25.1227981, -50.1532816 -25.1220624, -50.1534427 -25.1215706))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.156457 -25.134307, -50.1562397 -25.1341826, -50.1561914 -25.1347089, -50.156457 -25.134307))",park,Praça Rocha Carvalhães,Rua Doutor Franco Grilo,,,Ponta Grossa,Col. Dona Luiza,,,,84045-340,24/7,,,,,,,
"POLYGON ((-50.1752233 -25.1393427, -50.1749002 -25.1401767, -50.1728661 -25.1390664, -50.1734225 -25.1382595, -50.1752233 -25.1393427))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.2002096 -25.0953058, -50.199957 -25.095423, -50.1997937 -25.0950324, -50.2002096 -25.0953058))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.2022653 -25.0956198, -50.2019999 -25.0954499, -50.2023078 -25.0950044, -50.2022653 -25.0956198))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.2039895 -25.10157, -50.2037132 -25.101383, -50.203732 -25.1015846, -50.2039895 -25.10157))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.2049108 -25.101445, -50.2045608 -25.1012494, -50.2043851 -25.1015105, -50.2049108 -25.101445))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1885558 -25.0802034, -50.1889075 -25.0803295, -50.1887824 -25.0807117, -50.1885094 -25.0802327, -50.1885558 -25.0802034))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1883221 -25.080298, -50.1885434 -25.0807384, -50.1881836 -25.0806538, -50.1882881 -25.0803189, -50.1883221 -25.080298))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1566248 -25.1298212, -50.1565788 -25.1301608, -50.1567664 -25.1302089, -50.1568195 -25.1298629, -50.1566248 -25.1298212))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1712408 -25.1079326, -50.1710745 -25.1077852, -50.1704799 -25.1083973, -50.1712408 -25.1079326))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1871213 -25.0829838, -50.1871766 -25.0831511, -50.1865366 -25.0833397, -50.1864991 -25.0832644, -50.1871213 -25.0829838))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1880732 -25.0825759, -50.1873015 -25.0829331, -50.1873929 -25.0830802, -50.1879658 -25.0826922, -50.1880732 -25.0825759))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1371837 -25.088717, -50.1368756 -25.088784, -50.137042 -25.0895792, -50.1370852 -25.0895848, -50.1371314 -25.0895457, -50.1371837 -25.088717))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1587489 -25.1373714, -50.1585639 -25.1379833, -50.1577672 -25.1375657, -50.1577391 -25.1375274, -50.1577269 -25.1374827, -50.1577324 -25.137437, -50.1578987 -25.1368773, -50.1587489 -25.1373714))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1487304 -25.0662942, -50.1485222 -25.0665855, -50.1482749 -25.0664356, -50.1482824 -25.0664087, -50.1482805 -25.0663851, -50.1483288 -25.0663195, -50.1482396 -25.0662605, -50.1482452 -25.0662437, -50.1482687 -25.0662078, -50.1483687 -25.0660808, -50.1487304 -25.0662942))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1483687 -25.0660808, -50.1482687 -25.0662078, -50.1482288 -25.0661863, -50.1482116 -25.0661771, -50.1482125 -25.066165, -50.1482046 -25.0661444, -50.1481926 -25.0661351, -50.148175 -25.0661359, -50.1481582 -25.0661463, -50.1481445 -25.066137, -50.1480931 -25.0661143, -50.1481448 -25.0660433, -50.1481894 -25.0659812, -50.1482702 -25.0660258, -50.1483285 -25.066058, -50.1483687 -25.0660808))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.148252 -25.0662105, -50.14823 -25.066239, -50.1481642 -25.0662067, -50.1480722 -25.0661552, -50.1480671 -25.0661536, -50.1480896 -25.0661225, -50.1481523 -25.0661579, -50.1481532 -25.0661721, -50.1481591 -25.0661813, -50.1481719 -25.0661878, -50.1481888 -25.0661909, -50.1481987 -25.0661864, -50.148205 -25.0661855, -50.148252 -25.0662105))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.2082303 -25.1355454, -50.2082035 -25.1352467, -50.2069643 -25.1353463, -50.2072325 -25.135764, -50.2073237 -25.1357858, -50.2082303 -25.1355454))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1458684 -25.0906346, -50.1464117 -25.0905365, -50.1464705 -25.0906802, -50.1458684 -25.0906346))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.2026276 -25.1040853, -50.2026236 -25.1041343, -50.2026052 -25.1041805, -50.2025737 -25.1042205, -50.2025314 -25.1042513, -50.2024815 -25.1042706, -50.2024277 -25.1042771, -50.202374 -25.1042701, -50.2023243 -25.1042503, -50.2022824 -25.1042191, -50.2022513 -25.1041788, -50.2022334 -25.1041324, -50.20223 -25.1040834, -50.2022413 -25.1040353, -50.2022666 -25.1039918, -50.2023038 -25.103956, -50.2023503 -25.1039307, -50.2024027 -25.1039177, -50.2024569 -25.103918, -50.2025091 -25.1039315, -50.2025553 -25.1039572, -50.2025922 -25.1039933, -50.2026169 -25.1040371, -50.2026276 -25.1040853))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.2159417 -25.1381023, -50.215888 -25.1381019, -50.2158355 -25.138092, -50.2157861 -25.1380732, -50.2157469 -25.1380498, -50.2157126 -25.1380208, -50.2156843 -25.137987, -50.2156627 -25.1379493, -50.2156171 -25.1379481, -50.2158746 -25.1386025, -50.2161174 -25.1385212, -50.2159591 -25.138112, -50.2159417 -25.1381023))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.2057824 -25.0931208, -50.2053049 -25.0928585, -50.2051389 -25.0928637, -50.2051089 -25.0941049, -50.2057824 -25.0931208))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.2045069 -25.0923982, -50.2044979 -25.0926247, -50.2040011 -25.0926086, -50.2040101 -25.092382, -50.2045069 -25.0923982))",park,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1153013 -25.0697894, -50.1143357 -25.0693667, -50.1139173 -25.0701684, -50.1150116 -25.070494, -50.1150813 -25.0703336, -50.1153013 -25.0697894))",park,Praça Lourival Peracetta,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1854928 -25.1059093, -50.1855243 -25.1060157, -50.1855059 -25.1060251, -50.1854795 -25.1059838, -50.1853434 -25.1060298, -50.1853196 -25.1059737, -50.1854928 -25.1059093))",garden,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.1856468 -25.1058502, -50.1855392 -25.10589, -50.1855467 -25.1060243, -50.1856394 -25.1059903, -50.1856818 -25.1060859, -50.1857378 -25.1060642, -50.1856468 -25.1058502))",garden,,,,,,,,,,,,,,,,,,
"POLYGON ((-50.121228 -25.1314373, -50.121386 -25.1316295, -50.1215003 -25.1318534, -50.1215897 -25.1322128, -50.1216188 -25.1324687, -50.1215689 -25.1326644, -50.1215066 -25.1327961, -50.1211715 -25.1327769, -50.1211751 -25.1326551, -50.1211844 -25.1324418, -50.121228 -25.1314373))",park,,,,,,,,,,,,,,,,,,
